id_goleador,anio,id_seleccion,seleccion,id_jugador,jugador,goles,partidos,promedio
276,1958,37,Gales,2556,Terry Medwin,1,4,0.25
277,1958,6,Argentina,5316,Norberto Menendez,1,3,0.33
278,1958,31,Escocia,2391,Jackie Mudie,1,3,0.33
279,1958,31,Escocia,2392,Jimmy Murray,1,2,0.5
280,1958,11,Brasil,1739,Nilton Santos,1,6,0.17
281,1958,,Yugoslavia,3680,Radivoje Ognjanovic,1,2,0.5
282,1958,,Yugoslavia,3712,Zdravko Rajkov,1,4,0.25
283,1958,62,Paraguay,4408,Cayetano Re,1,3,0.33
284,1958,42,Hungría,7594,Karoly Sandor,1,3,0.33
285,1958,,URSS,401,Nikita Simonyan,1,5,0.2
286,1958,73,Suecia,3511,Lennart Skoglund,1,6,0.17
287,1958,36,Francia,4070,Jean Vincent,1,6,0.17
288,1958,11,Brasil,1833,Zagallo,1,6,0.17
289,1962,42,Hungría,7490,Florian Albert,4,3,1.33
290,1962,11,Brasil,1637,Garrincha,4,6,0.67
291,1962,,URSS,310,Valentin Ivanov,4,4,1.0
292,1962,,Yugoslavia,3601,Drazen Jerkovic,4,6,0.67
293,1962,17,Chile,758,Leonel Sanchez,4,6,0.67
294,1962,11,Brasil,1820,Vava,4,6,0.67
295,1962,11,Brasil,1535,Amarildo,3,4,0.75
296,1962,,Yugoslavia,3579,Milan Galic,3,6,0.5
297,1962,,Checoslovaquia,568,Adolf Scherer,3,6,0.5
298,1962,42,Hungría,7616,Lajos Tichy,3,4,0.75
299,1962,51,Italia,5561,Giacomo Bulgarelli,2,1,2.0
300,1962,,URSS,275,Igor Chislenko,2,3,0.67
301,1962,44,Inglaterra,1272,Ron Flowers,2,4,0.5
302,1962,,URSS,373,Viktor Ponedelnik,2,4,0.5
303,1962,17,Chile,735,Jaime Ramirez,2,6,0.33
304,1962,17,Chile,748,Eladio Rojas,2,6,0.33
305,1962,80,Uruguay,5994,Jose Sasia,2,3,0.67
306,1962,,Alemania Occidental,6281,Uwe Seeler,2,4,0.5
307,1962,17,Chile,771,Jorge Toro,2,5,0.4
308,1962,19,Colombia,2632,German Aceros,1,3,0.33
309,1962,34,España,4848,Adelardo,1,1,1.0
310,1962,,Alemania Occidental,6069,Albert Bruells,1,4,0.25
311,1962,80,Uruguay,5825,Angel Cabrera,1,2,0.5
312,1962,44,Inglaterra,1239,Bobby Charlton,1,4,0.25
313,1962,19,Colombia,2653,Marcos Coll,1,3,0.33
314,1962,80,Uruguay,5849,Luis Cubilla,1,2,0.5
315,1962,56,México,7704,Alfredo Del Aguila,1,3,0.33
316,1962,56,México,7707,Isidoro Diaz,1,3,0.33
317,1962,6,Argentina,5248,Hector Facundo,1,2,0.5
318,1962,44,Inglaterra,1284,Jimmy Greaves,1,4,0.25
319,1962,56,México,7752,Hector Hernandez,1,3,0.33
320,1962,44,Inglaterra,1293,Gerry Hitchens,1,2,0.5
321,1962,,Checoslovaquia,495,Josef Kadraba,1,3,0.33
322,1962,19,Colombia,2684,Marino Klinger,1,3,0.33
323,1962,,URSS,351,Aleksei Mamykin,1,2,0.5
324,1962,,Checoslovaquia,526,Vaclav Masek,1,1,1.0
325,1962,,Checoslovaquia,528,Josef Masopust,1,6,0.17
326,1962,,Yugoslavia,3649,Vojislav Melic,1,2,0.5
327,1962,51,Italia,5697,Bruno Mora,1,2,0.5
328,1962,34,España,5019,Joaquin Peiro,1,2,0.5
329,1962,11,Brasil,1759,Pelé,1,2,0.5
330,1962,19,Colombia,2710,Antonio Rada,1,2,0.5
331,1962,,Yugoslavia,3708,Petar Radakovic,1,5,0.2
332,1962,6,Argentina,5397,Jose Sanfilippo,1,2,0.5
333,1962,74,Suiza,8184,Heinz Schneiter,1,3,0.33
334,1962,,Yugoslavia,3724,Josip Skoblar,1,5,0.2
335,1962,12,Bulgaria,2999,Georgi Sokolov,1,2,0.5
336,1962,42,Hungría,7600,Erno Solymosi,1,4,0.25
337,1962,,Checoslovaquia,582,Josef Stibranyi,1,3,0.33
338,1962,,Alemania Occidental,6297,Horst Szymaniak,1,4,0.25
339,1962,74,Suiza,8226,Rolf Wuethrich,1,3,0.33
340,1962,11,Brasil,1833,Zagallo,1,6,0.17
341,1962,11,Brasil,1845,Zito,1,6,0.17
342,1962,19,Colombia,2734,Francisco Zuluaga,1,1,1.0
343,1966,65,Portugal,3228,Eusebio,9,6,1.5
344,1966,,Alemania Occidental,6119,Helmut Haller,6,5,1.2
345,1966,,Alemania Occidental,6051,Franz Beckenbauer,4,6,0.67
346,1966,42,Hungría,7496,Ferenc Bene,4,4,1.0
347,1966,44,Inglaterra,1304,Geoff Hurst,4,3,1.33
348,1966,,URSS,376,Valeriy Porkuyan,4,3,1.33
349,1966,6,Argentina,5165,Luis Artime,3,4,0.75
350,1966,44,Inglaterra,1239,Bobby Charlton,3,6,0.5
